CHANNEL1;CHANNEL2;CHANNEL3;ENTRY AGE;SEX;POLICY TYPE 1;POLICY TYPE 2;POLICY TYPE 3;PAYMENT MODE;POLICY STATUS;BENEFIT;NON LAPSE GUARANTEED;SUBSTANDARD RISK;NUMBER OF ADVANCE PREMIUM;INITIAL BENEFIT;Full Benefit?;Policy Year (Decimal);Policy Year;Premium;Issue Date;;
1;1;1;20;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 216 ;Feb-12;;
1;1;1;32;F;2;3;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.5;8; 342 ;Feb-12;;
1;1;1;31;M;2;3;A;Monthly;Expired; 400,000 ;NO NLG;0;0;0;N;7.416666667;8; 1,313 ;Mar-12;;
1;1;7;51;F;1;1;A;Annually;Lapse; 200,000 ;NO NLG;0;0;0;N;7.416666667;8; 280 ;Mar-12;;
1;1;6;26;F;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 64 ;Mar-12;;
1;1;16;27;M;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.416666667;8; 65 ;Mar-12;;
1;1;15;21;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.416666667;8; 151 ;Mar-12;;
1;1;15;25;F;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.416666667;8; 151 ;Mar-12;;
1;1;1;27;M;2;3;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.333333333;8; 303 ;Apr-12;;
1;1;6;25;M;2;3;A;Monthly;Lapse; 40,000 ;NO NLG;0;0;0;N;7.333333333;8; 295 ;Apr-12;;
1;1;12;21;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7.25;8; 151 ;May-12;;
1;1;10;25;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;7.25;8; 65 ;May-12;;
1;1;9;29;F;2;3;A;Monthly;Inforce; 20,000 ;NO NLG;0;0;0;N;7.25;8; 92 ;May-12;;
1;1;6;26;M;2;3;A;Monthly;Lapse; 30,000 ;NO NLG;0;0;0;N;7.25;8; 231 ;May-12;;
1;1;1;25;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.083333333;8; 61 ;Jul-12;;
1;1;1;54;M;2;3;A;Annually;Lapse; 100,000 ;NO NLG;0;0;0;N;7.083333333;8; 2,097 ;Jul-12;;
1;1;32;25;M;2;3;A;Semiannually;Lapse; 20,000 ;NO NLG;0;0;0;N;7.083333333;8; 63 ;Jul-12;;
1;1;1;30;M;1;2;A;Monthly;Lapse; 100,000 ;NO NLG;0;0;0;N;7;8; 216 ;Aug-12;;
1;1;32;24;M;2;3;A;Semiannually;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 63 ;Aug-12;;
1;1;11;26;M;2;3;A;Quaterly;Lapse; 20,000 ;NO NLG;0;0;0;N;7;8; 59 ;Aug-12;;
1;1;3;47;M;2;3;A;Annually;Lapse; 20,000 ;NO NLG;0;0;0;N;6.916666667;7; 312 ;Sep-12;;
1;1;6;34;M;2;3;A;Annually;Lapse; 40,000 ;NO NLG;0;0;0;N;6.916666667;7; 397 ;Sep-12;;
1;1;49;26;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.833333333;7; 154 ;Oct-12;;
1;1;6;23;F;2;3;A;Monthly;Lapse; 20,000 ;NO NLG;0;0;0;N;6.75;7; 65 ;Nov-12;;
1;1;9;29;M;2;3;A;Monthly;Inforce; 60,000 ;NO NLG;0;0;0;N;6.666666667;7; 309 ;Dec-12;;
